曜,weekday
元,origin
私,i
飲,to drink
京,capital
会,to meet
社,company
帰,to return
員,member
新,new
作,make
仕,serve
事,thing
思,to think
次 ,next
家,house
古,old
知,to know
住,to live
買,to buy
道,way
雪,snow
自,self
夜,night
朝,morning
持,to hold
紙,paper
好,to like
近,near
明,bright
病,sick
院,institution
映,to reflect
画,picture
歌,to sing
市,city
所,place
勉,to make effort
強,strong
有,to exist
旅,travel
昔,ancient times
々,symbol of repetition of kanji
神,god
起,to get up
牛,cow
使,to use
働,to work
連,to link
別,to separate
度,degrees
色,color
